,away_team,home_team,t1_name,t1_odds,t2_name,t2_odds
0,Cincinnati Bengals,Kansas City Chiefs,Cincinnati Bengals,295,Kansas City Chiefs,-345
1,San Francisco 49ers,Los Angeles Rams,Los Angeles Rams,-186,San Francisco 49ers,150
2,Los Angeles Rams,Cincinnati Bengals,Cincinnati Bengals,155,Los Angeles Rams,-190
3,San Francisco 49ers,Cincinnati Bengals,Cincinnati Bengals,120,San Francisco 49ers,-148
4,Los Angeles Rams,Kansas City Chiefs,Kansas City Chiefs,-148,Los Angeles Rams,120
5,San Francisco 49ers,Kansas City Chiefs,Kansas City Chiefs,-175,San Francisco 49ers,143
