,away_team,home_team,t1_name,t1_odds,t2_name,t2_odds
0,Cincinnati Bengals,Kansas City Chiefs,Cincinnati Bengals,285,Kansas City Chiefs,-335
1,San Francisco 49ers,Los Angeles Rams,Los Angeles Rams,-186,San Francisco 49ers,150
